Exp_ID,Model,Data_Type,Context,Image_ID,Morph_Characteristic,Statistical_Metric,prompt_tokens,completion_tokens,total_tokens,compute_time,response,ground_truth,pct_error
EXP000001,gpt-4o,Processed/Table,Zero-shot,0,area,mean,1707.0,7.0,1714.0,1.1427,9931.818181818182,9931.818181818182,0.0
EXP000002,gpt-4o,Processed/Table,Zero-shot,0,area,median,1707.0,4.0,1711.0,0.7141,5786.0,5786.0,0.0
EXP000003,gpt-4o,Processed/Table,Zero-shot,0,area,range,1707.0,4.0,1711.0,0.3712,16699.0,16699.0,0.0
EXP000004,gpt-4o,Processed/Table,Zero-shot,0,area,min,1707.0,4.0,1711.0,0.6781,3331.0,3331.0,0.0
EXP000005,gpt-4o,Processed/Table,Zero-shot,0,area,max,1707.0,5.0,1712.0,0.518,20030.0,20030.0,0.0
EXP000006,gpt-4o,Processed/Table,Zero-shot,0,area,IQR,1708.0,4.0,1712.0,0.7395,10578.5,10578.5,0.0
EXP000007,gpt-4o,Processed/Table,Zero-shot,0,area,Q1,1708.0,5.0,1713.0,0.482,4807.0,4807.0,0.0
EXP000008,gpt-4o,Processed/Table,Zero-shot,0,area,Q3,1708.0,4.0,1712.0,0.4428,15385.5,15385.5,0.0
EXP000009,gpt-4o,Processed/Table,Zero-shot,0,area_convex,mean,1709.0,8.0,1717.0,0.6682,11590.181818181818,11590.181818181818,0.0
EXP000010,gpt-4o,Processed/Table,Zero-shot,0,area_convex,median,1709.0,5.0,1714.0,0.6228,6565.0,6565.0,0.0
EXP000011,gpt-4o,Processed/Table,Zero-shot,0,area_convex,range,1709.0,4.0,1713.0,0.9637,21254.0,21254.0,0.0
EXP000012,gpt-4o,Processed/Table,Zero-shot,0,area_convex,min,1709.0,4.0,1713.0,1.0865,4107.0,4107.0,0.0
EXP000013,gpt-4o,Processed/Table,Zero-shot,0,area_convex,max,1709.0,4.0,1713.0,0.4224,25361.0,25361.0,0.0
EXP000014,gpt-4o,Processed/Table,Zero-shot,0,area_convex,IQR,1710.0,4.0,1714.0,0.6083,13450.5,13450.5,0.0
EXP000015,gpt-4o,Processed/Table,Zero-shot,0,area_convex,Q1,1710.0,4.0,1714.0,1.3886,5053.5,5053.5,0.0
EXP000016,gpt-4o,Processed/Table,Zero-shot,0,area_convex,Q3,1710.0,5.0,1715.0,0.5637,18504.0,18504.0,0.0
EXP000017,gpt-4o,Processed/Table,Zero-shot,0,major_axis_length,mean,1709.0,8.0,1717.0,0.5465,146.51251464648655,146.51251464648655,0.0
EXP000018,gpt-4o,Processed/Table,Zero-shot,0,major_axis_length,median,1709.0,7.0,1716.0,0.6142,150.7089338166191,150.7089338166191,0.0
EXP000019,gpt-4o,Processed/Table,Zero-shot,0,major_axis_length,range,1709.0,7.0,1716.0,0.5639,150.49656041334345,150.49656041334345,0.0
EXP000020,gpt-4o,Processed/Table,Zero-shot,0,major_axis_length,min,1709.0,7.0,1716.0,0.5468,94.5648473099654,94.5648473099654,0.0
EXP000021,gpt-4o,Processed/Table,Zero-shot,0,major_axis_length,max,1709.0,8.0,1717.0,0.7022,245.0614077233089,245.0614077233089,0.0
EXP000022,gpt-4o,Processed/Table,Zero-shot,0,major_axis_length,IQR,1710.0,8.0,1718.0,0.6063,72.94191678623157,72.94191678623157,0.0
EXP000023,gpt-4o,Processed/Table,Zero-shot,0,major_axis_length,Q1,1710.0,8.0,1718.0,0.6684,104.66512674090062,104.66512674090062,0.0
EXP000024,gpt-4o,Processed/Table,Zero-shot,0,major_axis_length,Q3,1710.0,7.0,1717.0,0.6459,177.6070435271322,177.6070435271322,0.0
EXP000025,gpt-4o,Processed/Table,Zero-shot,0,minor_axis_length,mean,1709.0,8.0,1717.0,0.9008,90.0488428543457,90.0488428543457,0.0
EXP000026,gpt-4o,Processed/Table,Zero-shot,0,minor_axis_length,median,1709.0,7.0,1716.0,0.7305,71.63673214512743,71.63673214512743,0.0
EXP000027,gpt-4o,Processed/Table,Zero-shot,0,minor_axis_length,range,1709.0,7.0,1716.0,0.579,139.1890490274047,139.1890490274047,0.0
EXP000028,gpt-4o,Processed/Table,Zero-shot,0,minor_axis_length,min,1709.0,7.0,1716.0,0.4122,39.84623115323466,39.84623115323466,0.0
EXP000029,gpt-4o,Processed/Table,Zero-shot,0,minor_axis_length,max,1709.0,8.0,1717.0,0.4469,179.03528018063938,179.03528018063938,0.0
EXP000030,gpt-4o,Processed/Table,Zero-shot,0,minor_axis_length,IQR,1710.0,8.0,1718.0,0.4832,55.76984782420355,57.91414134887492,3.7025
EXP000031,gpt-4o,Processed/Table,Zero-shot,0,minor_axis_length,Q1,1710.0,8.0,1718.0,0.4148,55.76984782420355,55.76984782420355,0.0
EXP000032,gpt-4o,Processed/Table,Zero-shot,0,minor_axis_length,Q3,1710.0,8.0,1718.0,0.4507,113.68398917307849,113.68398917307849,0.0
EXP000033,gpt-4o,Processed/Table,Zero-shot,0,eccentricity,mean,1708.0,7.0,1715.0,0.5079,0.756047828176851,0.756047828176851,0.0
EXP000034,gpt-4o,Processed/Table,Zero-shot,0,eccentricity,median,1708.0,9.0,1717.0,0.7371,0.7610417683415519,0.7610417683415519,0.0
EXP000035,gpt-4o,Processed/Table,Zero-shot,0,eccentricity,range,1708.0,9.0,1717.0,0.5981,0.6170119107450307,0.6170119107450307,0.0
EXP000036,gpt-4o,Processed/Table,Zero-shot,0,eccentricity,min,1708.0,9.0,1717.0,0.5486,0.3492936659737506,0.3492936659737506,0.0
EXP000037,gpt-4o,Processed/Table,Zero-shot,0,eccentricity,max,1708.0,8.0,1716.0,0.6452,0.9663055767187811,0.9663055767187811,0.0
EXP000038,gpt-4o,Processed/Table,Zero-shot,0,eccentricity,IQR,1709.0,9.0,1718.0,0.5422,0.1393180868275435,0.1393180868275435,0.0
EXP000039,gpt-4o,Processed/Table,Zero-shot,0,eccentricity,Q1,1709.0,9.0,1718.0,0.6694,0.7237597401127177,0.7237597401127177,0.0
EXP000040,gpt-4o,Processed/Table,Zero-shot,0,eccentricity,Q3,1709.0,9.0,1718.0,0.571,0.8630778269402613,0.8630778269402613,0.0
EXP000041,gpt-4o,Processed/Table,Zero-shot,0,orientation,mean,1707.0,10.0,1717.0,0.6031,-0.227319677894473,-0.227319677894473,0.0
EXP000042,gpt-4o,Processed/Table,Zero-shot,0,orientation,median,1707.0,9.0,1716.0,0.7117,-0.3331408039048223,-0.3331408039048223,0.0
EXP000043,gpt-4o,Processed/Table,Zero-shot,0,orientation,range,1707.0,8.0,1715.0,0.6185,2.844956217881668,2.844956217881668,0.0
EXP000044,gpt-4o,Processed/Table,Zero-shot,0,orientation,min,1707.0,9.0,1716.0,0.7017,-1.2764903596319257,-1.2764903596319257,0.0
EXP000045,gpt-4o,Processed/Table,Zero-shot,0,orientation,max,1707.0,7.0,1714.0,0.6629,1.568465858249742,1.568465858249742,0.0
EXP000046,gpt-4o,Processed/Table,Zero-shot,0,orientation,IQR,1708.0,9.0,1717.0,0.9581,1.2340310871932232,1.2340310871932232,0.0
EXP000047,gpt-4o,Processed/Table,Zero-shot,0,orientation,Q1,1708.0,10.0,1718.0,1.4193,-1.034198932285732,-1.034198932285732,0.0
EXP000048,gpt-4o,Processed/Table,Zero-shot,0,orientation,Q3,1708.0,8.0,1716.0,0.7739,0.199832154907491,0.199832154907491,0.0
EXP000049,gpt-4o,Processed/Table,Zero-shot,0,equivalent_diameter,mean,1709.0,7.0,1716.0,0.2863,106.72188868574472,106.72188868574472,0.0
EXP000050,gpt-4o,Processed/Table,Zero-shot,0,equivalent_diameter,median,1709.0,7.0,1716.0,0.404,85.83102006755863,85.83102006755863,0.0
EXP000051,gpt-4o,Processed/Table,Zero-shot,0,equivalent_diameter,range,1709.0,8.0,1717.0,0.5261,94.57235385246672,94.57235385246672,0.0
EXP000052,gpt-4o,Processed/Table,Zero-shot,0,equivalent_diameter,min,1709.0,7.0,1716.0,0.4571,65.12419614484948,65.12419614484948,0.0
EXP000053,gpt-4o,Processed/Table,Zero-shot,0,equivalent_diameter,max,1709.0,8.0,1717.0,0.3676,159.6965499973162,159.6965499973162,0.0
EXP000054,gpt-4o,Processed/Table,Zero-shot,0,equivalent_diameter,IQR,1710.0,7.0,1717.0,0.4941,61.69796780850059,61.69796780850059,0.0
EXP000055,gpt-4o,Processed/Table,Zero-shot,0,equivalent_diameter,Q1,1710.0,7.0,1717.0,0.4558,78.22114926824834,78.22114926824834,0.0
EXP000056,gpt-4o,Processed/Table,Zero-shot,0,equivalent_diameter,Q3,1710.0,8.0,1718.0,0.8642,139.91911707674893,139.91911707674893,0.0
EXP000057,gpt-4o,Processed/Table,Zero-shot,0,circularity,mean,1708.0,7.0,1715.0,1.0623,0.570698524960863,0.570698524960863,0.0
EXP000058,gpt-4o,Processed/Table,Zero-shot,0,circularity,median,1708.0,9.0,1717.0,0.8878,0.5986523851173317,0.5986523851173317,0.0
EXP000059,gpt-4o,Processed/Table,Zero-shot,0,circularity,range,1708.0,8.0,1716.0,1.4392,0.4365388695156745,0.4365388695156745,0.0
EXP000060,gpt-4o,Processed/Table,Zero-shot,0,circularity,min,1708.0,9.0,1717.0,1.1079,0.379540147351576,0.379540147351576,0.0
EXP000061,gpt-4o,Processed/Table,Zero-shot,0,circularity,max,1708.0,9.0,1717.0,0.9518,0.8160790168672506,0.8160790168672506,0.0
EXP000062,gpt-4o,Processed/Table,Zero-shot,0,circularity,IQR,1709.0,8.0,1717.0,0.8527,0.155399973657566,0.155399973657566,0.0
EXP000063,gpt-4o,Processed/Table,Zero-shot,0,circularity,Q1,1709.0,8.0,1717.0,1.27,0.4743699576880117,0.4743699576880117,0.0
EXP000064,gpt-4o,Processed/Table,Zero-shot,0,circularity,Q3,1709.0,9.0,1718.0,0.9787,0.6297699313455778,0.6297699313455778,0.0
